;rouge1;rouge2;rougeL;time;method
0;0.32 0.27;0.11 0.08;0.23 0.18;6.985413332780202;Bart
1;0.33 0.27;0.11 0.08;0.23 0.17;4.5042444189389546;DistilBart
2;0.30 0.27;0.09 0.07;0.21 0.18;1.8736946201324463;T5
3;0.34 0.21;0.09 0.05;0.23 0.13;0.08835053443908691;LeadN
4;0.39 0.26;0.16 0.10;0.26 0.17;0.37283295710881553;BertSumExt
5;0.46 0.23;0.18 0.09;0.31 0.14;0.10818133433659871;GloveVecBasedTextRank
6;0.41 0.23;0.16 0.09;0.28 0.15;0.09320632696151733;PhrasesBasedTextRank
7;0.50 0.31;0.27 0.18;0.36 0.21;0.09273615757624308;CommonBasedTextRank
