;rouge1;rouge2;rougeL;time;method
0;0.29 0.25;0.07 0.06;0.20 0.16;6.785817137559255;Bart
1;0.30 0.25;0.07 0.06;0.20 0.15;4.449875936508179;DistilBart
2;0.27 0.25;0.06 0.05;0.19 0.16;1.8215651941299438;T5
3;0.33 0.21;0.08 0.04;0.22 0.13;0.073217081228892;LeadN
4;0.34 0.22;0.08 0.05;0.22 0.13;0.3456056221326192;BertSumExt
5;0.41 0.20;0.11 0.05;0.25 0.11;0.09853166977564494;GloveVecBasedTextRank
6;0.36 0.20;0.09 0.04;0.23 0.12;0.08715715567270915;PhrasesBasedTextRank
7;0.41 0.21;0.11 0.05;0.26 0.13;0.08603245337804158;CommonBasedTextRank
