;rouge1;rouge2;rougeL;time;method
0;0.36 0.27;0.13 0.10;0.25 0.19;2.0003985085487366;T5
1;0.28 0.25;0.09 0.08;0.20 0.18;1.7723177313804626;T5Wiki
