;rouge1;rouge2;rougeL;time;method
0;0.26 0.25;0.06 0.05;0.17 0.16;1.8758099493980407;T5
1;0.31 0.36;0.10 0.11;0.23 0.25;1.7595585775375366;T5Wiki
